"make","variant","length","big_region","small_region","price","year","gdp"
"Lagoon","380","38.00","USA","Florida",219000,"2005",52789.7314187756
"Leopard","40","39.00","Caribbean","Panama",2e+05,"2005",7872.78549577504
"Nautitech","40","39.50","Europe","Croatia",188252,"2005",11523.2978336217
"Nautitech","40","39.50","Europe","Croatia",188131,"2005",11523.2978336217
"Lagoon","440","44.60","USA","Georgia",379000,"2005",52789.7314187756
"Lagoon","440","44.60","USA","Florida",320000,"2005",52789.7314187756
"Lagoon","440","44.60","USA","Florida",320000,"2005",52789.7314187756
"Leopard","40","39.00","USA","Washington",239000,"2006",53738.0917251561
"Leopard","40","39.00","USA","Florida",215500,"2006",53738.0917251561
"Nautitech","40","39.50","Europe","Greece",217401,"2006",23369.1504333202
"Nautitech","40","39.50","Europe","Greece",217047,"2006",23369.1504333202
"Nautitech","40","39.50","Europe","Italy",206722,"2006",33751.7000191328
"Nautitech","40","39.50","Europe","Greece",206551,"2006",23369.1504333202
"Nautitech","40","39.50","Europe","Greece",206337,"2006",23369.1504333202
"Nautitech","40","39.50","Europe","Greece",192796,"2006",23369.1504333202
"Nautitech","40","39.50","Europe","Greece",191772,"2006",23369.1504333202
"Lagoon","420","41.00","Europe","Italy",358698,"2006",33751.7000191328
"Lagoon","440","44.60","Europe","Greece",325285,"2006",23369.1504333202
"Lagoon","440","44.60","Europe","Greece",321976,"2006",23369.1504333202
"Lagoon","440","44.60","Europe","Greece",321644,"2006",23369.1504333202
"Lagoon","440","44.60","Europe","Italy",309826,"2006",33751.7000191328
"Lagoon","440","44.60","Europe","Italy",309506,"2006",33751.7000191328
"Lagoon","440","44.60","Europe","Italy",303751,"2006",33751.7000191328
"Lagoon","440","44.60","Europe","Italy",303437,"2006",33751.7000191328
"Lagoon","440","44.60","Europe","Croatia",267301,"2006",12105.4687785422
"Lagoon","440","44.60","Europe","Croatia",267025,"2006",12105.4687785422
"Lagoon","440","44.60","Europe","Croatia",267025,"2006",12105.4687785422
"Lagoon","440","44.60","USA","Florida",349000,"2006",53738.0917251561
"Lagoon","500","51.00","Europe","Spain",515334,"2006",26762.2672557942
"Lagoon","500","51.00","Europe","Greece",515334,"2006",23369.1504333202
"Lagoon","500","51.00","Europe","Greece",461585,"2006",23369.1504333202
"Lagoon","500","51.00","Europe","Greece",461225,"2006",23369.1504333202
"Lagoon","500","51.00","Europe","Greece",423929,"2006",23369.1504333202
"Lagoon","500","51.00","Europe","Greece",423599,"2006",23369.1504333202
"Lagoon","500","51.00","Europe","Greece",418330,"2006",23369.1504333202
