"make","variant","length","big_region","small_region","price","year","gdp"
"Bavaria","Cruiser 46","46","Europe","Croatia",101063,"2005",11523.2978336217
"Bavaria","Cruiser 46","46","Europe","Croatia",91106,"2005",11523.2978336217
"Bavaria","Cruiser 46","46","Europe","Croatia",84907,"2005",11523.2978336217
"Bavaria","Cruiser 46","46","Europe","Croatia",84786,"2005",11523.2978336217
"Bavaria","Cruiser 46","46","Europe","Greece",133651,"2005",22185.424546109
"Bavaria","Cruiser 46","46","Europe","Greece",109338,"2005",22185.424546109
"Bavaria","Cruiser 46","46","Europe","Greece",105705,"2005",22185.424546109
"Bavaria","Cruiser 46","46","Europe","Greece",103253,"2005",22185.424546109
"Bavaria","Cruiser 46","46","Europe","Greece",96933,"2005",22185.424546109
"Bavaria","Cruiser 46","46","Europe","Italy",115396,"2005",33257.7698032684
"Bavaria","Cruiser 46","46","Europe","Italy",103249,"2005",33257.7698032684
"Bavaria","Cruiser 46","46","Europe","Netherlands",133015,"2005",42201.7754133082
"Bavaria","Cruiser 46","46","Europe","Spain",145769,"2005",26145.8085786196
"Bavaria","50 Cruiser","49","Europe","Croatia",103249,"2005",11523.2978336217
"Bavaria","50 Cruiser","49","Europe","Greece",109323,"2005",22185.424546109
"Bavaria","50 Cruiser","49","Europe","Italy",151843,"2005",33257.7698032684
"Bavaria","50 Cruiser","49","Europe","Italy",136896,"2005",33257.7698032684
"Beneteau","Cyclades 39.3","39","USA","Florida",72900,"2005",52789.7314187756
"Beneteau","Cyclades 39.3","39","Europe","Greece",78975,"2005",22185.424546109
"Beneteau","Cyclades 39.3","39","Europe","Italy",103275,"2005",33257.7698032684
"Beneteau","Cyclades 39.3","39","Europe","Italy",82620,"2005",33257.7698032684
"Beneteau","Cyclades 39.3","39","Caribbean","Mexico",99000,"2005",9524.74243606686
"Beneteau","Cyclades 39.3","39","Europe","Portugal",101427,"2005",19224.0346513314
"Beneteau","Cyclades 39.3","39","Europe","Spain",108108,"2005",26145.8085786196
