"make","variant","length","big_region","small_region","price","year","gdp"
"Lagoon","380","38.00","Caribbean","Martinique"," 204921","2005",38816.479
"Lagoon","380","38.00","Caribbean","Guadeloupe"," 200071","2005",38816.479
"Lagoon","380","38.00","USA","Florida"," 219000","2005",62789.1279211483
"Fountaine Pajot","Lavezzi 40","39.00","Caribbean","Mexico"," 210000","2005",10077.3833104761
"Leopard","40","39.00","Caribbean","Panama"," 200000","2005",15388.0558648904
"Nautitech","40","39.50","Europe","Croatia"," 188252","2005",16610.3180919751
"Nautitech","40","39.50","Europe","Croatia"," 188131","2005",16610.3180919751
"Lagoon","410","40.50","Caribbean","Grenada"," 225000","2005",8688.54780185774
"Lagoon","410-S2","40.50","Europe","Spain"," 303395","2005",27702.7452993409
"Lagoon","410-S2","40.50","Europe","Turkey"," 231042","2005",14055.1055648777
"Lagoon","410","40.50","USA","Florida"," 235000","2005",62789.1279211483
"Broadblue","415","42.00","Caribbean","Grenada"," 330000","2005",8688.54780185774
"Manta","42 MK II","42.00","USA","Florida"," 269500","2005",62789.1279211483
"Manta","42 MK II","42.00","USA","Florida"," 249900","2005",62789.1279211483
"Manta","42 MK II","42.00","USA","Florida"," 249900","2005",62789.1279211483
"Knysna","440","44.00","Caribbean","Grenada"," 230000","2005",8688.54780185774
"Lagoon","440","44.60","Caribbean","Martinique"," 349833","2005",38816.479
"Lagoon","440","44.60","Caribbean","Martinique"," 349560","2005",38816.479
"Lagoon","440","44.60","USA","Georgia"," 379000","2005",62789.1279211483
"Lagoon","440","44.60","USA","Florida"," 320000","2005",62789.1279211483
"Lagoon","440","44.60","USA","Florida"," 320000","2005",62789.1279211483
"Fountaine Pajot","Bahia 46","46.00","Caribbean","Martinique"," 255179","2005",38816.479
"Fountaine Pajot","Bahia 46","46.00","Caribbean","Martinique"," 254636","2005",38816.479
"Fountaine Pajot","Bahia 46","46.00","USA","Florida"," 229000","2005",62789.1279211483
"Nautitech","47","47.00","Caribbean","Dominican Republic"," 266761","2005",8732.08073884782
"Leopard","47","47.00","Caribbean","U.S. Virgin Islands"," 235000","2005",62789.128
"Fountaine Pajot","Athena 38","38.00","Europe","Croatia"," 163694","2006",16610.3180919751
"Fountaine Pajot","Athena 38","38.00","Europe","Croatia"," 146864","2006",16610.3180919751
"Fountaine Pajot","Athena 38","38.00","Europe","Croatia"," 146719","2006",16610.3180919751
"Fountaine Pajot","Athena 38","38.00","Europe","Croatia"," 140188","2006",16610.3180919751
"Fountaine Pajot","Athena 38","38.00","Europe","Croatia"," 133138","2006",16610.3180919751
"Broadblue","385","38.70","Europe","Spain"," 223109","2006",27702.7452993409
"Broadblue","385","38.70","Europe","United Kingdom"," 220542","2006",47923.4822383348
"Broadblue","385","38.70","Europe","Spain"," 220475","2006",27702.7452993409
"Broadblue","385","38.70","Europe","United Kingdom"," 219923","2006",47923.4822383348
"Broadblue","385","38.70","Europe","Spain"," 219766","2006",27702.7452993409
"Fountaine Pajot","Lavezzi 40","39.00","Europe","Greece"," 200642","2006",20287.7253030767
"Fountaine Pajot","Lavezzi 40","39.00","Europe","Italy"," 188482","2006",33281.3366682385
"Leopard","40","39.00","USA","Washington"," 239000","2006",62789.1279211483
"Fountaine Pajot","Lavezzi 40","39.00","USA","Texas"," 219000","2006",62789.1279211483
"Leopard","40","39.00","USA","Florida"," 215500","2006",62789.1279211483
"Nautitech","40","39.50","Europe","Greece"," 217401","2006",20287.7253030767
"Nautitech","40","39.50","Europe","Greece"," 217047","2006",20287.7253030767
"Nautitech","40","39.50","Europe","Italy"," 206722","2006",33281.3366682385
"Nautitech","40","39.50","Europe","Greece"," 206551","2006",20287.7253030767
"Nautitech","40","39.50","Europe","Greece"," 206337","2006",20287.7253030767
"Nautitech","40","39.50","Europe","Greece"," 192796","2006",20287.7253030767
"Nautitech","40","39.50","Europe","Greece"," 191772","2006",20287.7253030767
"Nautitech","402","40.00","USA","Florida"," 199990","2006",62789.1279211483
"Lagoon","410-S2","40.60","Europe","Spain"," 302787","2006",27702.7452993409
"Lagoon","420","41.00","Europe","Italy"," 358698","2006",33281.3366682385
"Maine Cat","41","41.60","USA","New York"," 349000","2006",62789.1279211483
"Manta","42 MK II","42.00","USA","Florida"," 269900","2006",62789.1279211483
"Leopard","43","42.50","Europe","Italy"," 206708","2006",33281.3366682385
"Fountaine Pajot","Belize 43","42.65","USA","Florida"," 275000","2006",62789.1279211483
"Privilege","435","43.00","Caribbean","Guatemala"," 345100","2006",4504.12922283915
