"country","code","gdp","hdi","income"
"USA","US",62789.1279211483,0.921,59009.45484
"France","FR",38816.4792795643,0.903,36489.80409
"Croatia","HR",16610.3180919751,0.858,14553.41293
"Greece","GR",20287.7253030767,0.887,17262.58654
"Italy","IT",33281.3366682385,0.895,29681.55713
"Netherlands","NL",50546.7893728169,0.941,46419.70712
"Spain","ES",27702.7452993409,0.905,25118.45314
"Mexico","MX",10077.3833104761,0.758,7498.932428
"Portugal","PT",22125.9391947109,0.866,19318.46756
"United Kingdom","GB",47923.4822383348,0.929,36072.66321
"Malta","MT",30379.5968015298,0.918,NA
"Grenada","GD",8688.54780185774,0.795,NA
"Netherlands Antilles","NL",50546.7893728169,0.941,46419.70712
"Turkey","TR",14055.1055648777,0.838,7197.801955
"Germany","DE",43361.1771204321,0.942,42982.48189
"Estonia","EE",21143.2913626518,0.89,22462.36475
"Ireland","IE",97316.8775085729,0.945,49607.17542
"Martinique","FR",38816.4792795643,0.903,36489.80409
"Denmark","DK",60345.5573176803,0.948,58796.35993
"Cyprus","CY",30571.55078125,0.896,24687.48242
"Panama","PA",15388.0558648904,0.805,11830.98718
"Antigua and Barbuda","AG",17335.047039518,0.788,NA
"Slovenia","SI",25349.7585533515,0.918,23493.4749
"Bahamas","BS",30283.8969865035,0.812,24192.52781
"Trinidad and Tobago","TT",14155.1747962802,0.81,13573.56138
"Romania","RO",12188.642461532,0.821,12194.36363
"Sweden","SE",55985.9706331466,0.947,51830.62661
"Cork","IE",97316.8775085729,0.945,49607.17542
"Gibraltar","GB",47923.4822383348,0.929,36072.66321
"Belgium","BE",44184.6852868064,0.937,41743.01428
"Bulgaria","BG",9550.94254965707,0.795,10114.52352
"Saint Lucia","LC",10802.6557167098,0.715,7607.054911
"West Indies","West Indies",12057.57,0.749,NA
"Dominican Republic","DO",8732.08073884782,0.767,7367.81018
"Guadeloupe","FR",38816.4792795643,0.903,36489.80409
"Monaco","MC",228667.935282559,0.956,NA
"Puerto Rico","PR",29752.128106078,0.921,NA
"British Virgin Islands","GB",47923.4822383348,0.929,36072.66321
"Sint Maarten (Dutch part)","SX",31782.1295012711,0.941,NA
"Aruba","AW",32492.1786261216,0.908,24994.77299
"Switzerland","CH",90057.0359422233,0.962,69631.65824
"U.S. Virgin Islands","US",62789.1279211483,0.921,59009.45484
"Saint Vincent and the Grenadines","VC",8460.36548216137,0.751,7181.414639
"Guatemala","GT",4504.12922283915,0.627,4308.9131
"Norway","NO",79636.2745503463,0.961,69953.01923
"Jersey","GB",47923.4822383348,0.929,36072.66321
"Saint Kitts and Nevis","KN",20428.4147408569,0.777,NA
"Hungary","HU",16336.2411254742,0.846,14799.3838
"Belize","BZ",6191.66283746796,0.683,4823.481794
"Honduras","HN",2487.70561222524,0.621,2407.050607
"Cayman Islands","KY",80946.9660025177,0.888,NA
"Saint-Martin","FR",38816.4792795643,0.903,36489.80409
"Lagos","NG",2449.58798087473,0.535,1702.48248
"Barbados","BB",16588.1488079926,0.79,14810.01095
