"","name","condition","length","year","seller","price"
"2","Leopard 40","Used","39.24","2008","Simpson Marine Limited",250000
"3","Princess 58","Used","57.09","2007","Simpson Marine Limited",550000
"4","Regal 2400 Bow Rider","Used","26.25","2007","Simpson Marine Limited",25530
"5","One Off Sailboats RC44 - Russel Coutts","Used","43.67","2006","Simpson Marine Limited",150000
"6","Azimut S6","New","57.58","2023","Simpson Marine Limited",2174998
"7","Bertram 72","Used","71.13","1982","Simpson Marine Limited",3e+05
"8","Sunseeker 80 Yacht","Used","80.18","2010","Simpson Marine Limited",1783000
"9","Tecnomar 55 Evo","Used","53.31","2019","Simpson Marine Limited",990000
"10","Sunseeker 86 Yacht","Used","88.58","2009","Simpson Marine Limited",1850000
"11","Princess Y85","Used","86.12","2020","Simpson Marine Limited",6030000
"12","Elling Boats E3 Ultimate","Used","45.28","2017","Elling Brokerage BV",472852
"13","Riva Boats 90' Argo","Used","93.47","2021","Simpson Marine Limited",7e+06
"14","Atlantis Boats 55","Used","54.79","2007","Simpson Marine Limited",295000
"15","Beneteau Oceanis 48","Used","47.9","2014","Simpson Marine Limited",320000
"16","Beneteau Antares 8","Used","22.9","2018","Simpson Marine Limited",83120
"17","Sea Ray 270 SLX","Used","28.51","2011","Simpson Marine Limited",42300
"18","Fairline Squadron 50","Used","49.08","2013","Simpson Marine Limited",720000
"19","Sanlorenzo SL78","Used","80.84","2020","Simpson Marine Limited",3914997
"20","Fairline Squadron 48","Used","50.72","2019","Simpson Marine Limited",850000
"21","Sanlorenzo SX76","Used","78.08","2022","Simpson Marine Limited",5437496
"22","Sunseeker Manhattan 66","Used","72.51","2005","Simpson Marine Limited",650000
"23","Beneteau Flyer 8","Used","22.83","2022","Simpson Marine Limited",112900
"24","Fairline Squadron 50","New","51.35","2023","Simpson Marine Limited",1552233
"25","Azimut GRANDE 25 METRI","Used","87.27","2020","Simpson Marine Limited",4865000
"26","Lagoon 46","Used","45.9","2020","Simpson Marine Limited",815000
"27","Sunseeker 88 Yacht","Used","88.16","2009","Simpson Marine Limited",1995000
"28","Fountaine Pajot SAONA 47 MEASTRO (3 CABIN)","Used","47.01","2020","M.I.Cats Ltd",1195000
"29","Numarine Boats 78 Fly","Used","78.58","2009","Simpson Marine Limited",630000
"30","Beneteau Antares 9","New","29.07","2024","Simpson Marine Limited",243600
"31","Azimut 103 S","Used","101.41","2007","Simpson Marine Limited",2167670
"32","Sunseeker Predator 64","Used","64.01","2011","Simpson Marine Limited",899950
"33","Scorpion Boats Serket 98 T Top","Used","32.15","2013","Simpson Marine Limited",124950
"34","Beneteau West Nautical","Used","49.87","2015","West Nautical",598125
"35","Ruby 80","Used","79.99","2014","Simpson Marine Limited",1499999
"36","Princess 67","Used","68.08","2008","Simpson Marine Limited",385000
"37","Ferretti Yachts 650","Used","64.63","2015","Simpson Marine Limited",1395000
"38","Highfield Sport 330","Used","11.02","2022","Simpson Marine Limited",22050
"39","Jeanneau Merry Fisher 605","Used","21.0","2018","Simpson Marine Limited",38500
"40","Custom 28","Used","27.89","2022","Private seller",74858
"41","Versil Craft Planet 128","Used","126.41","2011","Simpson Marine Limited",3850000
"42","Riva Boats mare 38","Used","38.98","2018","Simpson Marine Limited",620000
"43","Beneteau GRAN TURISMO 45","New","48.0","2023","Simpson Marine Limited",856949
"44","Nautor Swan Sailboats Swan 82","Used","81.66","2008","Simpson Marine Limited",1957499
"45","Aquila 28 Molokai","Used","30.77","2022","Simpson Marine Limited",297500
"46","Nautique Boats Paragon G25","Used","25.0","2020","Simpson Marine Limited",308418
"47","Sunseeker Manhattan 73","Used","74.18","2012","Simpson Marine Limited",1700000
"48","Sessa Marine 68","Used","63.12","2020","Simpson Marine Limited",3364000
"49","Monte Carlo Yachts MCY 70","Used","70.01","2015","Simpson Marine Limited",2174998
"50","Lagoon 40","New","38.52","2023","Simpson Marine Limited",642712
"52","Beneteau Gran Turismo 41","New","41.67","2023","Simpson Marine Limited",609000
"53","Fountaine Pajot Isla 40","Used","39.14","2021","Simpson Marine Limited",543750
"54","Nautique Boats G25 PARAGON","New","25.0","2023","Simpson Marine Limited",460000
"55","Custom Trawler Catamaran","Used","48.95","2008","Simpson Marine Limited",496000
"56","Sanlorenzo SD126","Used","125.98","2018","Simpson Marine Limited",14135315
"57","Silverton 36 Convertible","Used","37.66","2010","Simpson Marine Limited",284000
"58","Sunseeker Manhattan 55","New","56.46","2023","Simpson Marine Limited",1640000
"59","Sunseeker Manhattan 63","Used","71.19","2014","Simpson Marine Limited",8e+05
"60","Sealine S330","Used","33.99","2016","Simpson Marine Limited",258000
"61","Lagoon 46","New","45.08","2023","Simpson Marine Limited",1135371
"62","Beneteau Oceanis 34.1","Used","35.33","2022","Simpson Marine Limited",247950
"63","Malibu M240","Used","24.02","2022","Simpson Marine Limited",2e+05
"64","Sun Hing Shing Custom Teak Junk","Used","79.99","1994","Simpson Marine Limited",650000
"65","Grady-White Express 360","Used","37.73","2013","Simpson Marine Limited",210000
"66","Sealine S330","Used","33.83","2020","Simpson Marine Limited",295000
"68","Jeanneau 44","Used","45.11","2009","Simpson Marine Limited",180000
"69","Nautor Swan Sailboats Swan 60","Used","61.88","2014","Simpson Marine Limited",1087499
"70","Absolute 45 FLY","Used","44.62","2016","Simpson Marine Limited",450000
"71","Sealine F530","Used","52.3","2017","Simpson Marine Limited",699000
