"make","variant","length","big_region","small_region","price","year","gdp","hdi"
"Alubat","Ovni 395","41","Europe","France",267233,"2005","38816.4792795643","0.903"
"Bavaria","38 Cruiser","38","Europe","Croatia",75178,"2005","16610.3180919751","0.858"
"Bavaria","38 Cruiser","38","Europe","Croatia",66825,"2005","16610.3180919751","0.858"
"Bavaria","38 Cruiser","38","Europe","Croatia",54661,"2005","16610.3180919751","0.858"
"Bavaria","38 Cruiser","38","Europe","Croatia",53447,"2005","16610.3180919751","0.858"
"Bavaria","38 Cruiser","38","Europe","Greece",91101,"2005","20287.7253030767","0.887"
"Bavaria","39 Cruiser","39","Europe","Greece",66748,"2005","20287.7253030767","0.887"
"Bavaria","42 Match","41","Europe","Croatia",78945,"2005","16610.3180919751","0.858"
"Bavaria","42 Match","41","Europe","Croatia",58297,"2005","16610.3180919751","0.858"
"Bavaria","42 Cruiser","42","Europe","Croatia",112906,"2005","16610.3180919751","0.858"
"Bavaria","42 Cruiser","42","Europe","Italy",95961,"2005","33281.3366682385","0.895"
"Bavaria","42 Cruiser","42","Europe","Italy",94746,"2005","33281.3366682385","0.895"
"Bavaria","42 Cruiser","42","Europe","Italy",91102,"2005","33281.3366682385","0.895"
"Bavaria","Cruiser 46","46","Europe","Croatia",101063,"2005","16610.3180919751","0.858"
"Bavaria","Cruiser 46","46","Europe","Croatia",91106,"2005","16610.3180919751","0.858"
"Bavaria","Cruiser 46","46","Europe","Croatia",84907,"2005","16610.3180919751","0.858"
"Bavaria","Cruiser 46","46","Europe","Croatia",84786,"2005","16610.3180919751","0.858"
"Bavaria","Cruiser 46","46","Europe","Greece",133651,"2005","20287.7253030767","0.887"
"Bavaria","Cruiser 46","46","Europe","Greece",109338,"2005","20287.7253030767","0.887"
"Bavaria","Cruiser 46","46","Europe","Greece",105705,"2005","20287.7253030767","0.887"
"Bavaria","Cruiser 46","46","Europe","Greece",103253,"2005","20287.7253030767","0.887"
"Bavaria","Cruiser 46","46","Europe","Greece",96933,"2005","20287.7253030767","0.887"
"Bavaria","Cruiser 46","46","Europe","Italy",115396,"2005","33281.3366682385","0.895"
"Bavaria","Cruiser 46","46","Europe","Italy",103249,"2005","33281.3366682385","0.895"
"Bavaria","Cruiser 46","46","Europe","Netherlands",133015,"2005","50546.7893728169","0.941"
"Bavaria","Cruiser 46","46","Europe","Spain",145769,"2005","27702.7452993409","0.905"
"Bavaria","50 Cruiser","49","Europe","Croatia",103249,"2005","16610.3180919751","0.858"
"Bavaria","50 Cruiser","49","Europe","Greece",109323,"2005","20287.7253030767","0.887"
"Bavaria","50 Cruiser","49","Europe","Italy",151843,"2005","33281.3366682385","0.895"
"Bavaria","50 Cruiser","49","Europe","Italy",136896,"2005","33281.3366682385","0.895"
"Bavaria","49 Cruiser","50","Europe","Croatia",103249,"2005","16610.3180919751","0.858"
"Bavaria","49 Cruiser","50","Europe","Spain",145744,"2005","27702.7452993409","0.905"
"Beneteau","First 40.7","39","Europe","Croatia",157889,"2005","16610.3180919751","0.858"
"Beneteau","Cyclades 39.3","39","USA","Florida",72900,"2005","62789.1279211483","0.921"
"Beneteau","Cyclades 39.3","39","Europe","Greece",78975,"2005","20287.7253030767","0.887"
"Beneteau","First 40.7","39","USA","Illinois",124500,"2005","62789.1279211483","0.921"
"Beneteau","Cyclades 39.3","39","Europe","Italy",103275,"2005","33281.3366682385","0.895"
"Beneteau","Cyclades 39.3","39","Europe","Italy",82620,"2005","33281.3366682385","0.895"
"Beneteau","Cyclades 39.3","39","Caribbean","Mexico",99000,"2005","10077.3833104761","0.758"
"Beneteau","Cyclades 39.3","39","Europe","Portugal",101427,"2005","22125.9391947109","0.866"
"Beneteau","Cyclades 39.3","39","Europe","Spain",108108,"2005","27702.7452993409","0.905"
"Beneteau","Cyclades 39.3","39","Europe","Spain",103249,"2005","27702.7452993409","0.905"
"Beneteau","Cyclades 39.3","39","Europe","United Kingdom",95860,"2005","47923.4822383348","0.929"
"Beneteau","Oceanis 423","43","USA","Connecticut",139995,"2005","62789.1279211483","0.921"
"Beneteau","Cyclades 43.3","43","Europe","France",108108,"2005","38816.4792795643","0.903"
"Beneteau","Cyclades 43.3","43","Europe","France",106519,"2005","38816.4792795643","0.903"
"Beneteau","Cyclades 43.3","43","Europe","France",95961,"2005","38816.4792795643","0.903"
"Beneteau","Oceanis Clipper 423","43","Europe","Greece",103921,"2005","20287.7253030767","0.887"
"Beneteau","Oceanis Clipper 423","43","Europe","Italy",91090,"2005","33281.3366682385","0.895"
"Beneteau","Oceanis Clipper 423","43","Europe","Malta",127526,"2005","30379.5968015298","0.918"
"Beneteau","Oceanis 423","43","USA","Maryland",147900,"2005","62789.1279211483","0.921"
"Beneteau","Oceanis 43","43","USA","Maryland",144900,"2005","62789.1279211483","0.921"
"Beneteau","Oceanis Clipper 423","43","Europe","Netherlands",108108,"2005","50546.7893728169","0.941"
"Beneteau","Cyclades 43.3","43","Europe","Portugal",101792,"2005","22125.9391947109","0.866"
"Beneteau","First 44.7","44","USA","California",180000,"2005","62789.1279211483","0.921"
"Beneteau","First 44.7","44","USA","California",149000,"2005","62789.1279211483","0.921"
"Beneteau","First 44.7","44","Europe","Greece",131187,"2005","20287.7253030767","0.887"
"Beneteau","First 44.7","44","Europe","Italy",119040,"2005","33281.3366682385","0.895"
"Beneteau","First 44.7","44","USA","Texas",129900,"2005","62789.1279211483","0.921"
"Beneteau","Oceanis Clipper 473","47","Europe","Croatia",144549,"2005","16610.3180919751","0.858"
"Beneteau","Oceanis 473","47","Europe","Croatia",102034,"2005","16610.3180919751","0.858"
"Beneteau","First 47.7","47","Europe","Italy",127543,"2005","33281.3366682385","0.895"
"Beneteau","Oceanis Clipper 473","47","Europe","Malta",133611,"2005","30379.5968015298","0.918"
"Beneteau","Oceanis 473","47","USA","Maryland",195000,"2005","62789.1279211483","0.921"
"Beneteau","Oceanis 473","47","USA","North Carolina",185000,"2005","62789.1279211483","0.921"
"Beneteau","Oceanis 523","53","Europe","Italy",224719,"2005","33281.3366682385","0.895"
"Beneteau","Oceanis Clipper 523","53","Europe","Spain",224719,"2005","27702.7452993409","0.905"
"Beneteau","Oceanis Clipper 523","53","Europe","Spain",223504,"2005","27702.7452993409","0.905"
"Beneteau","Oceanis 523","53","Europe","Spain",212572,"2005","27702.7452993409","0.905"
"Beneteau","56","56","Europe","Spain",461603,"2005","27702.7452993409","0.905"
"Beneteau","Cyclades 50.5","51","Caribbean","Grenada",105000,"2005","8688.54780185774","0.795"
"C&C","121","40","USA","Rhode Island",184900,"2005","62789.1279211483","0.921"
"Cabo Rico","42","46","USA","Rhode Island",270000,"2005","62789.1279211483","0.921"
"Caliber","40 LRC SE","41","USA","Florida",259000,"2005","62789.1279211483","0.921"
"Catalina","387","38","USA","Maryland",125000,"2005","62789.1279211483","0.921"
"Catalina","42 MK II","42","Caribbean","Mexico",165000,"2005","10077.3833104761","0.758"
"Catalina","42 Mk II","42","Europe","United Kingdom",119242,"2005","47923.4822383348","0.929"
"Catalina","42 MK II","42","USA","Washington",159500,"2005","62789.1279211483","0.921"
"Catalina","Morgan 440","46","USA","California",199900,"2005","62789.1279211483","0.921"
"Catalina","Morgan 440","46","Caribbean","Grenada",179950,"2005","8688.54780185774","0.795"
"Catalina","Morgan 440","46","USA","Washington",194950,"2005","62789.1279211483","0.921"
"Comar","Comet 41S","41","Europe","Italy",150622,"2005","33281.3366682385","0.895"
"Comar","Comet 45s","46","Europe","Italy",163984,"2005","33281.3366682385","0.895"
"Comar","Comet 51S","51","Europe","Italy",200425,"2005","33281.3366682385","0.895"
"Comar","Comet 52 RS","52","Europe","Italy",255086,"2005","33281.3366682385","0.895"
"Dehler","41 CR","41","Europe","Italy",176176,"2005","33281.3366682385","0.895"
"Delphia","40","39","Europe","Italy",85017,"2005","33281.3366682385","0.895"
"Dufour","385","38","Europe","Croatia",87458,"2005","16610.3180919751","0.858"
"Dufour","385 GL","38","Caribbean","Netherlands Antilles",86000,"2005","70869.4","0.941"
"Dufour","385","38","Europe","Turkey",98591,"2005","14055.1055648777","0.838"
"Dufour","40","40","Europe","France",97054,"2005","38816.4792795643","0.903"
"Dufour","44","44","Europe","France",163984,"2005","38816.4792795643","0.903"
"Dufour","44","44","Europe","Italy",139690,"2005","33281.3366682385","0.895"
"Dufour","44 Performance","44","Europe","Italy",133617,"2005","33281.3366682385","0.895"
"Dufour","455","45","Europe","France",139726,"2005","38816.4792795643","0.903"
"Dufour","455 GL","45","Europe","Italy",127548,"2005","33281.3366682385","0.895"
"Elan","Impression 434","44","Europe","Croatia",127543,"2005","16610.3180919751","0.858"
"Elan","Impression 434","44","Europe","Croatia",91102,"2005","16610.3180919751","0.858"
"Grand Soleil","43","43","Europe","France",181597,"2005","38816.4792795643","0.903"
"Grand Soleil","45 RACING","45","Europe","France",224719,"2005","38816.4792795643","0.903"
"Grand Soleil","50","49","Caribbean","Grenada",230000,"2005","8688.54780185774","0.795"
"Grand Soleil","50","49","Europe","United Kingdom",252527,"2005","47923.4822383348","0.929"
"Hallberg-Rassy","40","40","Europe","United Kingdom",299771,"2005","47923.4822383348","0.929"
"Hallberg-Rassy","43","44","Europe","Greece",339508,"2005","20287.7253030767","0.887"
"Hanse","411","40","Europe","Greece",108108,"2005","20287.7253030767","0.887"
"Hanse","411","40","Europe","Italy",120239,"2005","33281.3366682385","0.895"
"Hanse","411","40","Europe","Italy",103249,"2005","33281.3366682385","0.895"
"Hanse","411","40","Europe","Italy",83814,"2005","33281.3366682385","0.895"
"Hanse","411","40","Europe","United Kingdom",93256,"2005","47923.4822383348","0.929"
"Hanse","461","46","Europe","France",303674,"2005","38816.4792795643","0.903"
"Hanse","461","46","Europe","Germany",132436,"2005","43361.1771204321","0.942"
"Hanse","461","46","Europe","Spain",179942,"2005","27702.7452993409","0.905"
"Hanse","461","46","Europe","Spain",170057,"2005","27702.7452993409","0.905"
"Hanse","531","53","Europe","Estonia",236875,"2005","21143.2913626518","0.89"
"Hanse","531","53","Europe","Ireland",200433,"2005","97316.8775085729","0.945"
"Hanse","531","53","Europe","Spain",334055,"2005","27702.7452993409","0.905"
"Hanse","531","53","Europe","Spain",333920,"2005","27702.7452993409","0.905"
"Harmony","42 Elegance","42","Europe","France",83270,"2005","38816.4792795643","0.903"
"Hunter","38","38","USA","Florida",119000,"2005","62789.1279211483","0.921"
"Hunter","38","38","USA","Maryland",69000,"2005","62789.1279211483","0.921"
"Hunter","38","38","USA","New York",109335,"2005","62789.1279211483","0.921"
"Hunter","41 DS","40","USA","California",132000,"2005","62789.1279211483","0.921"
"Hunter","41 DS","40","Europe","France",96555,"2005","38816.4792795643","0.903"
"Hunter","41 Deck Salon","40","Europe","France",94746,"2005","38816.4792795643","0.903"
"Hunter","41 Aft Cockpit","40","USA","Maryland",124900,"2005","62789.1279211483","0.921"
"Hunter","41 DS","40","USA","Michigan",124900,"2005","62789.1279211483","0.921"
"Hunter","44 DS","44","USA","California",159000,"2005","62789.1279211483","0.921"
"Hunter","44","44","USA","Maine",165900,"2005","62789.1279211483","0.921"
"Hunter","44","44","USA","New York",149000,"2005","62789.1279211483","0.921"
"Hunter","44 DS","44","USA","Virginia",148106,"2005","62789.1279211483","0.921"
"Hunter","Passage 456","46","USA","North Carolina",142500,"2005","62789.1279211483","0.921"
"Hunter","466","46","Europe","Spain",169000,"2005","27702.7452993409","0.905"
"Hylas","49","49","Europe","Spain",464979,"2005","27702.7452993409","0.905"
"Island Packet","370","38","USA","Florida",169900,"2005","62789.1279211483","0.921"
"Island Packet","420","44","USA","Florida",299950,"2005","62789.1279211483","0.921"
"Island Packet","420","44","Europe","United Kingdom",286566,"2005","47923.4822383348","0.929"
"J Boats","J 122","40","USA","California",195000,"2005","62789.1279211483","0.921"
"Jeanneau","Sun Odyssey 40.3","40","Europe","Greece",94746,"2005","20287.7253030767","0.887"
"Jeanneau","Sun Odyssey 40.3","40","USA","Illinois",118900,"2005","62789.1279211483","0.921"
"Jeanneau","Sun Odyssey 40.3","40","USA","Illinois",114900,"2005","62789.1279211483","0.921"
"Jeanneau","Sun Odyssey 40","40","Europe","Italy",103235,"2005","33281.3366682385","0.895"
"Jeanneau","Sun Odyssey 40.3","40","USA","Michigan",126500,"2005","62789.1279211483","0.921"
"Jeanneau","Sun Odyssey 40.3","40","USA","New York",124900,"2005","62789.1279211483","0.921"
"Jeanneau","SUN ODYSSEY 40.3","40","Europe","Spain",121470,"2005","27702.7452993409","0.905"
"Jeanneau","Sun Odyssey 43 DS","42","USA","New York",165000,"2005","62789.1279211483","0.921"
"Jeanneau","Sun Odyssey 43 DS","42","USA","Rhode Island",149900,"2005","62789.1279211483","0.921"
"Jeanneau","Sun Odyssey 45","45","Europe","Croatia",187063,"2005","16610.3180919751","0.858"
"Jeanneau","Sun Odyssey 45","45","Europe","Croatia",102034,"2005","16610.3180919751","0.858"
"Jeanneau","Sun Odyssey 45","45","Europe","Croatia",95961,"2005","16610.3180919751","0.858"
"Jeanneau","Sun Odyssey 45","45","Europe","Croatia",93532,"2005","16610.3180919751","0.858"
"Jeanneau","Sun Odyssey 45","45","Europe","France",132402,"2005","38816.4792795643","0.903"
"Jeanneau","Sun Odyssey 49 DS","49","USA","California",335000,"2005","62789.1279211483","0.921"
"Jeanneau","Sun Odyssey 49 DS","49","Europe","Croatia",216225,"2005","16610.3180919751","0.858"
"Jeanneau","Sun Odyssey 49 DS","49","Europe","France",236875,"2005","38816.4792795643","0.903"
"Jeanneau","Sun Odyssey 49","49","Europe","France",162776,"2005","38816.4792795643","0.903"
"Jeanneau","Sun Odyssey 49","49","Europe","Greece",194359,"2005","20287.7253030767","0.887"
"Jeanneau","Sun Odyssey 49","49","Europe","Greece",151837,"2005","20287.7253030767","0.887"
"Jeanneau","Sun Odyssey 49","49","Europe","Greece",139690,"2005","20287.7253030767","0.887"
"Jeanneau","Sun Odyssey 49","49","Europe","Italy",163984,"2005","33281.3366682385","0.895"
"Jeanneau","Sun Odyssey 49","49","Europe","Spain",222298,"2005","27702.7452993409","0.905"
"Jeanneau","Sun Odyssey 49","49","Europe","Spain",168843,"2005","27702.7452993409","0.905"
"Jeanneau","Sun Odyssey 49","49","Europe","Turkey",166420,"2005","14055.1055648777","0.838"
"Jeanneau","Sun Odyssey 49","49","USA","Washington",255000,"2005","62789.1279211483","0.921"
"Jeanneau","Sun Odyssey 54 DS","55","Europe","Greece",251808,"2005","20287.7253030767","0.887"
"Jeanneau","Sun Odyssey 54 DS","55","Europe","Italy",242939,"2005","33281.3366682385","0.895"
"Jeanneau","Sun Odyssey 54 DS","55","Europe","Italy",236866,"2005","33281.3366682385","0.895"
"Jeanneau","Sun Odyssey 54 DS","55","Europe","Portugal",267233,"2005","22125.9391947109","0.866"
"Jeanneau","Sun Odyssey 54 DS","55","Europe","Spain",358335,"2005","27702.7452993409","0.905"
"Jeanneau","Sun Odyssey 54 DS","55","Europe","Spain",358287,"2005","27702.7452993409","0.905"
"Jeanneau","Sun Odyssey 54 DS","55","Europe","Spain",301204,"2005","27702.7452993409","0.905"
"Jeanneau","Sun Odyssey 49","49","Caribbean","Martinique",157968,"2005","38816.479","0.903"
"Malo","43 Classic","44","Europe","Netherlands",351047,"2005","50546.7893728169","0.941"
"Malo","46","46","Europe","United Kingdom",393128,"2005","47923.4822383348","0.929"
"Moody","49","48","Europe","Spain",406940,"2005","27702.7452993409","0.905"
"Morris","Ocean Series 48","48","USA","California",479000,"2005","62789.1279211483","0.921"
"Najad","380","38","Europe","United Kingdom",233156,"2005","47923.4822383348","0.929"
"Nauticat","385","38","Europe","Spain",306497,"2005","27702.7452993409","0.905"
"Nauticat","44","43","Europe","Denmark",321907,"2005","60345.5573176803","0.948"
