"name","condition","length","year","seller","price","mono","cat","gdp","hdi"
"Leopard 40","Used",39.240002,2008,"Simpson Marine Limited",250000,FALSE,TRUE,49800.54,0.952
"Princess 58","Used",57.09,2007,"Simpson Marine Limited",550000,TRUE,FALSE,49800.54,0.952
"Regal 2400 Bow Rider","Used",26.25,2007,"Simpson Marine Limited",25530,TRUE,FALSE,49800.54,0.952
"One Off Sailboats RC44 - Russel Coutts","Used",43.669998,2006,"Simpson Marine Limited",150000,TRUE,FALSE,49800.54,0.952
"Azimut S6","New",57.580002,2023,"Simpson Marine Limited",2174998,TRUE,FALSE,49800.54,0.952
"Bertram 72","Used",71.129997,1982,"Simpson Marine Limited",3e+05,TRUE,FALSE,49800.54,0.952
"Sunseeker 80 Yacht","Used",80.18,2010,"Simpson Marine Limited",1783000,TRUE,FALSE,49800.54,0.952
"Tecnomar 55 Evo","Used",53.310001,2019,"Simpson Marine Limited",990000,TRUE,FALSE,49800.54,0.952
"Sunseeker 86 Yacht","Used",88.580002,2009,"Simpson Marine Limited",1850000,TRUE,FALSE,49800.54,0.952
"Princess Y85","Used",86.120003,2020,"Simpson Marine Limited",6030000,TRUE,FALSE,49800.54,0.952
"Elling Boats E3 Ultimate","Used",45.279999,2017,"Elling Brokerage BV",472852,TRUE,FALSE,49800.54,0.952
"Riva Boats 90' Argo","Used",93.470001,2021,"Simpson Marine Limited",7e+06,TRUE,FALSE,49800.54,0.952
"Atlantis Boats 55","Used",54.790001,2007,"Simpson Marine Limited",295000,TRUE,FALSE,49800.54,0.952
"Beneteau Oceanis 48","Used",47.900002,2014,"Simpson Marine Limited",320000,TRUE,FALSE,49800.54,0.952
"Beneteau Antares 8","Used",22.9,2018,"Simpson Marine Limited",83120,TRUE,FALSE,49800.54,0.952
"Sea Ray 270 SLX","Used",28.51,2011,"Simpson Marine Limited",42300,TRUE,FALSE,49800.54,0.952
"Fairline Squadron 50","Used",49.080002,2013,"Simpson Marine Limited",720000,TRUE,FALSE,49800.54,0.952
"Sanlorenzo SL78","Used",80.839996,2020,"Simpson Marine Limited",3914997,TRUE,FALSE,49800.54,0.952
"Fairline Squadron 48","Used",50.720001,2019,"Simpson Marine Limited",850000,TRUE,FALSE,49800.54,0.952
"Sanlorenzo SX76","Used",78.080002,2022,"Simpson Marine Limited",5437496,TRUE,FALSE,49800.54,0.952
"Sunseeker Manhattan 66","Used",72.510002,2005,"Simpson Marine Limited",650000,TRUE,FALSE,49800.54,0.952
"Beneteau Flyer 8","Used",22.83,2022,"Simpson Marine Limited",112900,TRUE,FALSE,49800.54,0.952
"Fairline Squadron 50","New",51.349998,2023,"Simpson Marine Limited",1552233,TRUE,FALSE,49800.54,0.952
"Azimut GRANDE 25 METRI","Used",87.269997,2020,"Simpson Marine Limited",4865000,TRUE,FALSE,49800.54,0.952
"Lagoon 46","Used",45.900002,2020,"Simpson Marine Limited",815000,FALSE,TRUE,49800.54,0.952
"Sunseeker 88 Yacht","Used",88.160004,2009,"Simpson Marine Limited",1995000,TRUE,FALSE,49800.54,0.952
"Fountaine Pajot SAONA 47 MEASTRO (3 CABIN)","Used",47.009998,2020,"M.I.Cats Ltd",1195000,FALSE,TRUE,49800.54,0.952
"Numarine Boats 78 Fly","Used",78.580002,2009,"Simpson Marine Limited",630000,TRUE,FALSE,49800.54,0.952
