name,condition,length,year,seller,price,mono,cat
Leopard 40,Used,39.240002,2008,Simpson Marine Limited,250000,FALSE,TRUE
Princess 58,Used,57.09,2007,Simpson Marine Limited,550000,TRUE,FALSE
Regal 2400 Bow Rider,Used,26.25,2007,Simpson Marine Limited,25530,TRUE,FALSE
One Off Sailboats RC44 - Russel Coutts,Used,43.669998,2006,Simpson Marine Limited,150000,TRUE,FALSE
Azimut S6,New,57.580002,2023,Simpson Marine Limited,2174998,TRUE,FALSE
Bertram 72,Used,71.129997,1982,Simpson Marine Limited,300000,TRUE,FALSE
Sunseeker 80 Yacht,Used,80.18,2010,Simpson Marine Limited,1783000,TRUE,FALSE
Tecnomar 55 Evo,Used,53.310001,2019,Simpson Marine Limited,990000,TRUE,FALSE
Sunseeker 86 Yacht,Used,88.580002,2009,Simpson Marine Limited,1850000,TRUE,FALSE
Princess Y85,Used,86.120003,2020,Simpson Marine Limited,6030000,TRUE,FALSE
Elling Boats E3 Ultimate,Used,45.279999,2017,Elling Brokerage BV,472852,TRUE,FALSE
Riva Boats 90' Argo,Used,93.470001,2021,Simpson Marine Limited,7000000,TRUE,FALSE
Atlantis Boats 55,Used,54.790001,2007,Simpson Marine Limited,295000,TRUE,FALSE
Beneteau Oceanis 48,Used,47.900002,2014,Simpson Marine Limited,320000,TRUE,FALSE
Beneteau Antares 8,Used,22.9,2018,Simpson Marine Limited,83120,TRUE,FALSE
Sea Ray 270 SLX,Used,28.51,2011,Simpson Marine Limited,42300,TRUE,FALSE
Fairline Squadron 50,Used,49.080002,2013,Simpson Marine Limited,720000,TRUE,FALSE
Sanlorenzo SL78,Used,80.839996,2020,Simpson Marine Limited,3914997,TRUE,FALSE
Fairline Squadron 48,Used,50.720001,2019,Simpson Marine Limited,850000,TRUE,FALSE
Sanlorenzo SX76,Used,78.080002,2022,Simpson Marine Limited,5437496,TRUE,FALSE
Sunseeker Manhattan 66,Used,72.510002,2005,Simpson Marine Limited,650000,TRUE,FALSE
Beneteau Flyer 8,Used,22.83,2022,Simpson Marine Limited,112900,TRUE,FALSE
Fairline Squadron 50,New,51.349998,2023,Simpson Marine Limited,1552233,TRUE,FALSE
Azimut GRANDE 25 METRI,Used,87.269997,2020,Simpson Marine Limited,4865000,TRUE,FALSE
Lagoon 46,Used,45.900002,2020,Simpson Marine Limited,815000,FALSE,TRUE
Sunseeker 88 Yacht,Used,88.160004,2009,Simpson Marine Limited,1995000,TRUE,FALSE
Fountaine Pajot SAONA 47 MEASTRO (3 CABIN),Used,47.009998,2020,M.I.Cats Ltd,1195000,FALSE,TRUE
Numarine Boats 78 Fly,Used,78.580002,2009,Simpson Marine Limited,630000,TRUE,FALSE
Beneteau Antares 9,New,29.07,2024,Simpson Marine Limited,243600,TRUE,FALSE
Azimut 103 S,Used,101.41,2007,Simpson Marine Limited,2167670,TRUE,FALSE
Sunseeker Predator 64,Used,64.010002,2011,Simpson Marine Limited,899950,TRUE,FALSE
Scorpion Boats Serket 98 T Top,Used,32.150002,2013,Simpson Marine Limited,124950,TRUE,FALSE
Beneteau West Nautical,Used,49.869999,2015,West Nautical,598125,TRUE,FALSE
Ruby 80,Used,79.989998,2014,Simpson Marine Limited,1499999,TRUE,FALSE
Princess 67,Used,68.080002,2008,Simpson Marine Limited,385000,TRUE,FALSE
Ferretti Yachts 650,Used,64.629997,2015,Simpson Marine Limited,1395000,TRUE,FALSE
Highfield Sport 330,Used,11.02,2022,Simpson Marine Limited,22050,TRUE,FALSE
Jeanneau Merry Fisher 605,Used,21,2018,Simpson Marine Limited,38500,TRUE,FALSE
Custom 28,Used,27.889999,2022,Private seller,74858,TRUE,FALSE
Versil Craft Planet 128,Used,126.41,2011,Simpson Marine Limited,3850000,TRUE,FALSE
Riva Boats mare 38,Used,38.98,2018,Simpson Marine Limited,620000,TRUE,FALSE
Beneteau GRAN TURISMO 45,New,48,2023,Simpson Marine Limited,856949,TRUE,FALSE
Nautor Swan Sailboats Swan 82,Used,81.660004,2008,Simpson Marine Limited,1957499,TRUE,FALSE
Aquila 28 Molokai,Used,30.77,2022,Simpson Marine Limited,297500,FALSE,TRUE
Nautique Boats Paragon G25,Used,25,2020,Simpson Marine Limited,308418,TRUE,FALSE
Sunseeker Manhattan 73,Used,74.18,2012,Simpson Marine Limited,1700000,TRUE,FALSE
Sessa Marine 68,Used,63.119999,2020,Simpson Marine Limited,3364000,TRUE,FALSE
Monte Carlo Yachts MCY 70,Used,70.010002,2015,Simpson Marine Limited,2174998,TRUE,FALSE
Lagoon 40,New,38.52,2023,Simpson Marine Limited,642712,FALSE,TRUE
Beneteau Gran Turismo 41,New,41.669998,2023,Simpson Marine Limited,609000,TRUE,FALSE
